fin_levels,thickness_mm,gap_mm,root_radius_mm,span_mm,duct,oil_w,h_a,h_b,h_delta,dp_max_pa,dp_delta,t_max_c,pass
12,2.4,4.5,2.0,100.0,splitter12,1200.0,185.682771877684,179.91052676156878,0.032083976518867276,4138.459685733687,0.12492613170247986,268.63836772791626,False
12,2.0,3.5,3.0,100.0,open,1200.0,165.8262409358738,162.11724312346166,0.022878490535319145,1137.1841994654608,0.13600302551347523,269.2547992870759,False
12,2.4,4.5,3.0,100.0,shroud16,1200.0,166.2995198878973,162.0352481793674,0.02631693879228992,1868.3230626687148,0.20243083861700462,269.30585539575316,False
14,2.0,3.5,3.0,86.0,open,1200.0,164.0977970340929,160.52913470167638,0.022230620871709312,1102.0833525146852,0.12738815214834456,269.91457224031603,False
12,2.4,3.5,4.0,100.0,splitter12,1200.0,231.0243912877597,222.92634850253492,0.036326090835030626,6971.545527837884,0.08217763537332423,233.90677762868967,False
12,2.0,3.5,4.0,100.0,splitter12,1200.0,224.9040085369969,216.32977769786345,0.03963500046262076,6971.545527837884,0.08217763537332423,236.084999535083,False
12,2.4,3.5,3.0,100.0,splitter12,1200.0,231.0243912877597,222.92634850253492,0.036326090835030626,6971.545527837884,0.08217763537332423,241.98418161991907,False
12,2.0,3.5,3.0,100.0,splitter12,1200.0,224.9040085369969,216.32977769786345,0.03963500046262076,6971.545527837884,0.08217763537332423,244.18296185386828,False
12,2.4,3.5,2.0,100.0,splitter12,1200.0,231.0243912877597,222.92634850253492,0.036326090835030626,6971.545527837884,0.08217763537332423,251.12211696044852,False
12,2.0,3.5,2.0,100.0,splitter12,1200.0,224.9040085369969,216.32977769786345,0.03963500046262076,6971.545527837884,0.08217763537332423,253.34462825510406,False
12,2.0,4.5,2.0,100.0,splitter12,1200.0,181.64826984133705,175.51486930858218,0.034945190438374844,4138.459685733687,0.12492613170247986,270.9271915754281,False
12,2.0,4.5,3.0,100.0,shroud16,1200.0,163.0357043096559,158.4362705691858,0.029030181813460534,1868.3230626687148,0.20243083861700462,271.6007532198016,False
12,2.4,3.5,3.0,86.0,open,1200.0,188.61974700574783,183.99341585531485,0.025144003816261223,1539.2734427684447,0.16588543609008105,271.73271917311445,False
14,2.4,3.5,4.0,100.0,splitter12,600.0,205.66042343929385,199.6971883335516,0.02986138741113342,4991.461590937183,0.07026418246019632,272.36390751041495,False
14,2.4,3.5,2.0,100.0,open,1200.0,149.95675233984878,147.76093805097432,0.014860587093166332,814.1969712149155,0.09752534497623833,272.6288820217543,False
12,2.4,4.5,2.0,86.0,splitter12,1200.0,206.80096627537952,199.2866231214484,0.03770620945968743,5598.531195280001,0.13240185531801513,273.18730653634634,False
12,2.4,4.5,3.0,86.0,shroud16,1200.0,185.4741854493245,179.75867150435167,0.03179548389594359,2528.3256690710227,0.2171456493566183,274.17407795962686,False
12,2.0,3.5,3.0,86.0,open,1200.0,184.4620018071138,179.40582638403617,0.02818289419572351,1539.2734427684447,0.16588543609008105,274.38288810548613,False
