# Wall heat-flux  
# Time            	patch             	min [W/m^2]       	max [W/m^2]       	Q [W]             	q [W/m^2]         
3.2000000000e+02	head	2.9468271157e+03	6.4350336955e+05	4.5838237731e+03	2.8889109664e+04
3.3000000000e+02	head	2.9209045774e+03	6.3334915904e+05	4.5825936501e+03	2.8881356932e+04
3.4000000000e+02	head	2.8301956811e+03	6.2140329539e+05	4.5814619945e+03	2.8874224780e+04
3.5000000000e+02	head	2.7088573832e+03	6.0906377511e+05	4.5799789935e+03	2.8864878309e+04
3.6000000000e+02	head	2.6123770936e+03	5.9648685652e+05	4.5780834640e+03	2.8852931916e+04
3.7000000000e+02	head	2.6537958544e+03	5.9880724496e+05	4.5756175842e+03	2.8837390945e+04
3.8000000000e+02	head	2.6856580939e+03	6.1487535472e+05	4.5727082835e+03	2.8819055356e+04
3.9000000000e+02	head	2.6975930578e+03	6.2719098226e+05	4.5697227586e+03	2.8800239372e+04
4.0000000000e+02	head	2.6824628952e+03	6.3503566458e+05	4.5663247168e+03	2.8778823540e+04
4.1000000000e+02	head	2.5344092346e+03	6.3772896657e+05	4.5628134432e+03	2.8756694075e+04
4.2000000000e+02	head	2.5184989408e+03	6.3562101221e+05	4.5593299162e+03	2.8734739480e+04
4.3000000000e+02	head	2.5176646363e+03	6.3065937615e+05	4.5558192304e+03	2.8712613719e+04
4.4000000000e+02	head	2.5461081078e+03	6.2363464776e+05	4.5526374178e+03	2.8692560651e+04
4.5000000000e+02	head	2.5703011034e+03	6.1578459074e+05	4.5492296829e+03	2.8671083728e+04
4.6000000000e+02	head	2.4878913801e+03	6.0840816437e+05	4.5457292570e+03	2.8649022630e+04
4.7000000000e+02	head	2.5712241923e+03	6.0207273819e+05	4.5420810018e+03	2.8626029851e+04
4.8000000000e+02	head	2.5382031368e+03	5.9772904478e+05	4.5380461825e+03	2.8600600790e+04
4.9000000000e+02	head	2.4736452208e+03	5.9630362516e+05	4.5333250112e+03	2.8570846061e+04
5.0000000000e+02	head	2.4995817581e+03	5.9782399707e+05	4.5279519487e+03	2.8536982850e+04
5.1000000000e+02	head	2.5810701148e+03	6.0194008269e+05	4.5222107469e+03	2.8500799476e+04
5.2000000000e+02	head	2.6501850586e+03	6.0811035164e+05	4.5167395705e+03	2.8466317911e+04
5.3000000000e+02	head	2.6988606176e+03	6.1591880759e+05	4.5117000732e+03	2.8434556963e+04
5.4000000000e+02	head	2.7078530079e+03	6.2488914966e+05	4.5069733413e+03	2.8404767188e+04
5.5000000000e+02	head	2.6670465176e+03	6.3439457798e+05	4.5025646021e+03	2.8376981532e+04
5.6000000000e+02	head	2.5906114253e+03	6.4395302823e+05	4.4984420966e+03	2.8350999837e+04
5.7000000000e+02	head	2.5258623948e+03	6.5278351396e+05	4.4945428927e+03	2.8326425478e+04
5.8000000000e+02	head	2.5512723491e+03	6.6081386461e+05	4.4905578965e+03	2.8301310422e+04
5.9000000000e+02	head	2.6433979322e+03	6.6806410676e+05	4.4872586866e+03	2.8280517468e+04
6.0000000000e+02	head	2.6992356479e+03	6.7431687261e+05	4.4846009258e+03	2.8263767185e+04
6.1000000000e+02	head	2.7407382775e+03	6.7942537066e+05	4.4826591013e+03	2.8251529023e+04
6.2000000000e+02	head	2.7819041898e+03	6.8350595023e+05	4.4813754173e+03	2.8243438728e+04
6.3000000000e+02	head	2.5728156981e+03	6.8689131298e+05	4.4809515797e+03	2.8240767532e+04
6.4000000000e+02	head	2.6508410226e+03	6.8981208337e+05	4.4810340633e+03	2.8241287377e+04
6.5000000000e+02	head	2.8353557502e+03	6.9262337292e+05	4.4817080630e+03	2.8245535195e+04
6.6000000000e+02	head	3.0287514862e+03	6.9546995322e+05	4.4826462456e+03	2.8251448001e+04
6.7000000000e+02	head	3.1067950624e+03	6.9831458791e+05	4.4839132489e+03	2.8259433168e+04
6.8000000000e+02	head	3.1155101114e+03	7.0069981682e+05	4.4849417186e+03	2.8265914999e+04
6.9000000000e+02	head	3.0980503395e+03	7.0283669459e+05	4.4859390257e+03	2.8272200432e+04
7.0000000000e+02	head	3.0808003707e+03	7.0455543928e+05	4.4869019244e+03	2.8278269009e+04
7.1000000000e+02	head	3.0602320866e+03	7.0554125848e+05	4.4879398974e+03	2.8284810734e+04
7.2000000000e+02	head	3.0092238895e+03	7.0574364572e+05	4.4886343729e+03	2.8289187599e+04
7.3000000000e+02	head	2.9770639707e+03	7.0513709324e+05	4.4891306956e+03	2.8292315625e+04
7.4000000000e+02	head	2.9560851937e+03	7.0370185721e+05	4.4891181671e+03	2.8292236666e+04
7.5000000000e+02	head	2.9519191637e+03	7.0093005382e+05	4.4885047950e+03	2.8288370947e+04
7.6000000000e+02	head	2.9582745202e+03	6.9664840407e+05	4.4873934356e+03	2.8281366711e+04
7.7000000000e+02	head	2.9627289006e+03	6.9109960752e+05	4.4857657631e+03	2.8271108461e+04
7.8000000000e+02	head	2.9430879693e+03	6.8447314515e+05	4.4838438644e+03	2.8258995879e+04
7.9000000000e+02	head	2.9015431524e+03	6.7674090621e+05	4.4817846309e+03	2.8246017757e+04
8.0000000000e+02	head	2.8544793283e+03	6.6781896455e+05	4.4796829252e+03	2.8232771959e+04
